"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Duration","Image Gallery","Fact Sheets","Plant Guides","Characteristics Data","Active Growth Period","Flower Color","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)"
"ANTE2","","Andropogon ternarius","splitbeard bluestem","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_ante2.pdf","../plantguide/pdf/pg_ante2.pdf","Yes","Summer","Green","None","Yes","Yes","No","Medium","No","High","Low","Low","4.0","7.5","20","60"
"ANVI2","","Andropogon virginicus","broomsedge bluestem","NA (L48, CAN, GU), HI, PR","Perennial","Photo","../factsheet/pdf/fs_anvi2.pdf","../plantguide/pdf/pg_anvi2.pdf","Yes","Summer","Yellow","None","No","Yes","Yes","High","No","High","Low","Medium","4.9","7.0","30","45"
"ARFR4","","Artemisia frigida","prairie sagewort","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_arfr4.pdf","../plantguide/pdf/cs_arfr4.pdf","Yes","Spring and Fall","White","None","Yes","Yes","Yes","High","No","High","Low","Low","7.0","9.0","10","40"
"ARTR2","","Artemisia tridentata","big sagebrush","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_artr2.pdf","../plantguide/pdf/pg_artr2.pdf","Yes","Spring and Summer","Yellow","None","No","Yes","No","High","No","High","Low","Medium","6.0","8.2","6","16"
"ARGI","","Arundinaria gigantea","giant cane","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_argi.pdf","../plantguide/pdf/cs_argi.pdf","Yes","Spring","","None","Yes","Yes","Yes","Low","No","Medium","Medium","Medium","5.0","6.9","24","100"
"ASSP","","Asclepias speciosa","showy milkweed","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_assp.pdf","../plantguide/pdf/pg_assp.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","Medium","No","Low","Medium","Medium","5.0","7.0","16","30"
"ASCA11","","Astragalus canadensis","Canadian milkvetch","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_asca11.pdf","../plantguide/pdf/pg_asca11.pdf","Yes","Spring, Summer, Fall","White","Low","No","Yes","No","Low","No","Medium","Medium","Medium","6.0","8.0","20","50"
"ASHU","","Astragalus humillimus","Mancos milkvetch","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_ashu.pdf","../plantguide/pdf/pg_ashu.pdf","No","","","","","","","","","","","","","","",""
"ASOS","","Astragalus osterhoutii","Kremmling milkvetch","NA (L48)","Perennial","","../factsheet/pdf/fs_asos.pdf","../plantguide/pdf/pg_asos.pdf","No","","","","","","","","","","","","","","",""
"ATCA2","","Atriplex canescens","fourwing saltbush","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_atca2.pdf","../plantguide/pdf/pg_atca2.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","High","No","High","Medium","Low","6.6","9.0","7","18"
"AVGE","","Avicennia germinans","black mangrove","NA (L48), PR, VI","Perennial","Photo","../factsheet/pdf/fs_avge.pdf","../plantguide/pdf/pg_avge.pdf","Yes","Year Round","White","None","No","Yes","Yes","Medium","No","Low","Low","High","6.0","8.0","34","81"
"BAHA","","Baccharis halimifolia","eastern baccharis","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_baha.pdf","../plantguide/pdf/pg_baha.pdf","Yes","Spring, Summer, Fall","White","None","Yes","Yes","Yes","Low","No","Low","Low","High","5.5","7.8","36","60"
"BASC5","","Bassia scoparia","burningbush","NA (L48, CAN)","Annual","","../factsheet/pdf/fs_basc5.pdf","../plantguide/pdf/pg_basc5.pdf","No","","","","","","","","","","","","","","",""
"BASC5","KOSC","Kochia scoparia","","","","Photo","../factsheet/pdf/fs_kosc.pdf","../plantguide/pdf/pg_kosc.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","No","Medium","No","High","Low","Low","4.0","8.0","10","40"
"BESY","","Beckmannia syzigachne","American sloughgrass","NA (L48, AK, CAN, GL)","Annual","Photo","../factsheet/pdf/fs_besy.pdf","../plantguide/pdf/pg_besy.pdf","Yes","Spring and Summer","Yellow","None","No","Yes","Yes","Low","No","None","Medium","High","5.5","7.5","30","60"
"BENI","","Betula nigra","river birch","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_beni.pdf","../plantguide/pdf/pg_beni.pdf","Yes","Spring and Summer","Brown","None","Yes","Yes","Yes","None","No","Low","Medium","High","3.0","6.5","30","80"
"BEPO","","Betula populifolia","gray birch","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_bepo.pdf","../plantguide/pdf/pg_bepo.pdf","Yes","Spring and Summer","Brown","None","Yes","Yes","Yes","Medium","Yes","Medium","Low","Low","3.5","6.5","36","65"
"BOBA3","","Bothriochloa barbinodis","cane bluestem","NA (L48), HI","Perennial","Photo","../factsheet/pdf/fs_boba3.pdf","../plantguide/pdf/pg_boba3.pdf","Yes","Summer and Fall","Yellow","None","Yes","Yes","No","High","No","High","Medium","Medium","7.0","8.2","12","20"
"BOCU","","Bouteloua curtipendula","sideoats grama","NA (L48, CAN), HI","Perennial","Photo","../factsheet/pdf/fs_bocu.pdf","../plantguide/pdf/pg_bocu.pdf","Yes","Summer","Yellow","None","Yes","Yes","Yes","Medium","No","Medium","Medium","Medium","6.0","8.5","6","20"
"BOGR2","","Bouteloua gracilis","blue grama","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_bogr2.pdf","../plantguide/pdf/pg_bogr2.pdf","Yes","Summer and Fall","Yellow","None","Yes","Yes","Yes","Medium","No","High","Low","Medium","6.6","8.4","8","22"
"BRCA5","","Bromus carinatus","California brome","NA (L48, AK, CAN)","Annual, Perennial","Photo","../factsheet/pdf/fs_brca5.pdf","../plantguide/pdf/pg_brca5.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","Medium","No","Medium","Low","Low","5.5","8.0","8","20"
"CACA4","","Calamagrostis canadensis","bluejoint","NA (L48, AK, CAN, GL, SPM)","Perennial","Photo","../factsheet/pdf/fs_caca4.pdf","../plantguide/pdf/pg_caca4.pdf","Yes","Spring","Green","None","No","Yes","Yes","Medium","No","Low","Medium","Medium","4.5","8.0","14","65"
"CAGI3","","Calamovilfa gigantea","giant sandreed","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_cagi3.pdf","../plantguide/pdf/pg_cagi3.pdf","No","","","","","","","","","","","","","","",""
"CALO","","Calamovilfa longifolia","prairie sandreed","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_calo.pdf","../plantguide/pdf/pg_calo.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","High","No","High","High","Medium","5.6","8.4","12","22"
"CAAM2","","Callicarpa americana","American beautyberry","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_caam2.pdf","../plantguide/pdf/cs_caam2.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","Medium","No","Low","High","High","5.8","7.2","30","60"
"CANE2","","Carex nebrascensis","Nebraska sedge","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_cane2.pdf","../plantguide/pdf/pg_cane2.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","Yes","Medium","Yes","None","Low","High","5.7","7.4","14","32"
"CACA18","","Carpinus caroliniana","American hornbeam","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_caca18.pdf","../plantguide/pdf/pg_caca18.pdf","Yes","Spring and Summer","Orange","None","Yes","Yes","No","Low","Yes","Low","Medium","Medium","4.0","7.4","23","80"
"CAIL2","","Carya illinoinensis","pecan","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_cail2.pdf","../plantguide/pdf/cs_cail2.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","Low","Yes","Low","High","High","4.5","7.5","28","79"
"CAPU9","","Castanea pumila","chinquapin","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_capu9.pdf","../plantguide/pdf/pg_capu9.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","Low","Yes","High","Low","Low","4.5","6.6","40","80"
"CABI8","","Catalpa bignonioides","southern catalpa","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_cabi8.pdf","../plantguide/pdf/pg_cabi8.pdf","Yes","Spring","White","None","Yes","Yes","No","Medium","No","Medium","Medium","Low","5.5","7.5","30","65"
"CASP8","","Catalpa speciosa","northern catalpa","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_casp8.pdf","../plantguide/pdf/pg_casp8.pdf","Yes","Spring","White","Low","Yes","Yes","No","Low","No","Medium","Medium","Low","5.5","7.0","20","80"
"CEAM","","Ceanothus americanus","New Jersey tea","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_ceam.pdf","../plantguide/pdf/cs_ceam.pdf","Yes","Spring and Summer","Blue","Low","Yes","Yes","No","Medium","Yes","High","Low","Low","4.3","6.5","25","60"
"CESC","","Celastrus scandens","American bittersweet","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_cesc.pdf","../plantguide/pdf/pg_cesc.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","Medium","Yes","Medium","Medium","High","5.0","7.5","30","60"
"CELA","","Celtis laevigata","sugarberry","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_cela.pdf","../plantguide/pdf/cs_cela.pdf","Yes","Spring and Summer","Green","None","No","Yes","Yes","Medium","Yes","Low","Medium","High","4.4","7.7","20","80"
"CEOC","","Celtis occidentalis","common hackberry","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_ceoc.pdf","../plantguide/pdf/pg_ceoc.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","Yes","Medium","Yes","High","Medium","Low","6.0","7.8","14","60"
"CEOC2","","Cephalanthus occidentalis","common buttonbush","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_ceoc2.pdf","../plantguide/pdf/pg_ceoc2.pdf","Yes","Spring","White","None","Yes","Yes","Yes","Medium","No","Medium","Low","High","4.7","8.6","20","80"
"CECA4","","Cercis canadensis","eastern redbud","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_ceca4.pdf","../plantguide/pdf/cs_ceca4.pdf","Yes","Spring and Summer","Purple","None","No","Yes","Yes","Low","Yes","High","Low","Low","5.0","7.9","20","80"
"CEOR9","","Cercis orbiculata","California redbud","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_ceor9.pdf","../plantguide/pdf/cs_ceor9.pdf","No","","","","","","","","","","","","","","",""
"CHFA2","","Chamaecrista fasciculata","partridge pea","NA (L48)","Annual","Photo","../factsheet/pdf/fs_chfa2.pdf","../plantguide/pdf/pg_chfa2.pdf","Yes","Spring","Yellow","Medium","Yes","Yes","No","","No","Medium","Medium","Medium","5.5","7.5","14","45"
"CHTH2","","Chamaecyparis thyoides","Atlantic white cedar","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_chth2.pdf","../plantguide/pdf/pg_chth2.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","No","None","Yes","None","Medium","Low","3.5","6.3","40","70"
"CHLA5","","Chasmanthium latifolium","Indian woodoats","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_chla5.pdf","../plantguide/pdf/pg_chla5.pdf","Yes","Spring","Green","None","Yes","Yes","Yes","Low","No","Medium","Low","Medium","5.0","7.0","24","65"
"CLFR","","Clematis fremontii","Fremont's leather flower","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_clfr.pdf","../plantguide/pdf/pg_clfr.pdf","No","","","","","","","","","","","","","","",""
"COERA","","Commelina erecta var. angustifolia","whitemouth dayflower","NA (L48)","Perennial","","../factsheet/pdf/fs_coera.pdf","../plantguide/pdf/pg_coera.pdf","No","","","","","","","","","","","","","","",""
"COFL2","","Cornus florida","flowering dogwood","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_cofl2.pdf","../plantguide/pdf/pg_cofl2.pdf","Yes","Spring and Summer","White","None","Yes","Yes","No","Low","Yes","Low","Medium","Low","4.8","7.7","28","80"
"CRAE","","Crataegus aestivalis","may hawthorn","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_crae.pdf","../plantguide/pdf/pg_crae.pdf","Yes","Spring and Summer","White","None","No","Yes","No","Low","Yes","Low","Medium","High","4.3","7.3","34","60"
"CRCO2","","Crataegus coccinioides","Kansas hawthorn","NA (L48, CAN)","Perennial","","../factsheet/pdf/fs_crco2.pdf","../plantguide/pdf/pg_crco2.pdf","No","","","","","","","","","","","","","","",""
"DAGL","","Dactylis glomerata","orchardgrass","NA (L48, AK, CAN, GL, SPM), HI, PR","Perennial","Photo","../factsheet/pdf/fs_dagl.pdf","../plantguide/pdf/pg_dagl.pdf","Yes","Spring and Fall","Yellow","None","No","Yes","Yes","Medium","No","Medium","Medium","Medium","5.2","7.5","26","60"
"DACA7","","Dalea candida","white prairie clover","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_daca7.pdf","../plantguide/pdf/pg_daca7.pdf","No","","","","","","","","","","","","","","",""
"DAOR2","","Dalea ornata","Blue Mountain prairie clover","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_daor2.pdf","../plantguide/pdf/pg_daor2.pdf","No","","","","","","","","","","","","","","",""
"DAPU5","","Dalea purpurea","purple prairie clover","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_dapu5.pdf","../plantguide/pdf/pg_dapu5.pdf","No","","","","","","","","","","","","","","",""
"DACA3","","Danthonia californica","California oatgrass","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_daca3.pdf","../plantguide/pdf/pg_daca3.pdf","Yes","Fall, Winter and Spring","","None","No","Yes","Yes","Medium","No","Medium","Low","Medium","6.0","7.0","6","40"
"DEIL","","Desmanthus illinoensis","Illinois bundleflower","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_deil.pdf","../plantguide/pdf/pg_deil.pdf","Yes","Spring and Summer","White","Low","Yes","Yes","Yes","Medium","No","Medium","Medium","Medium","5.0","8.0","16","24"
"DECA7","","Desmodium canadense","showy ticktrefoil","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_deca7.pdf","../plantguide/pdf/pg_deca7.pdf","No","","","","","","","","","","","","","","",""
"DEGL4","","Desmodium glabellum","Dillenius' ticktrefoil","NA (L48)","Perennial","","../factsheet/pdf/fs_degl4.pdf","../plantguide/pdf/pg_degl4.pdf","No","","","","","","","","","","","","","","",""
"DEPA6","","Desmodium paniculatum","panicledleaf ticktrefoil","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_depa6.pdf","../plantguide/pdf/pg_depa6.pdf","Yes","Spring and Summer","Purple","Low","No","Yes","Yes","None","No","Medium","Low","Low","6.0","7.0","45","90"
"DISC3","","Dichanthelium scoparium","velvet panicum","NA (L48), PR","Perennial","Photo","../factsheet/pdf/fs_disc3.pdf","../plantguide/pdf/pg_disc3.pdf","Yes","Summer","Green","None","Yes","Yes","No","High","No","Low","Medium","Medium","4.5","7.5","30","55"
"DISP","","Distichlis spicata","saltgrass","NA (L48, CAN), HI","Perennial","Photo","../factsheet/pdf/fs_disp.pdf","../plantguide/pdf/pg_disp.pdf","Yes","Spring, Summer, Fall","Yellow","None","No","Yes","Yes","High","No","Medium","Medium","Medium","6.4","10.0","5","70"
"ECPA","","Echinacea pallida","pale purple coneflower","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_ecpa.pdf","../plantguide/pdf/pg_ecpa.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","Low","Yes","Medium","Low","Medium","6.5","7.2","14","40"
"ECPU","","Echinacea purpurea","eastern purple coneflower","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_ecpu.pdf","../plantguide/pdf/cs_ecpu.pdf","Yes","Spring and Summer","Purple","None","Yes","Yes","Yes","Low","Yes","Low","Low","Medium","6.5","7.2","14","40"
"ELPA3","","Eleocharis palustris","common spikerush","NA (L48, AK, CAN, GL, SPM), HI","Perennial","Photo","../factsheet/pdf/fs_elpa3.pdf","../plantguide/pdf/pg_elpa3.pdf","Yes","Spring","Brown","None","Yes","No","Yes","Medium","No","Low","Medium","High","4.0","8.0","16","60"
"ELCA4","","Elymus canadensis","Canada wildrye","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_elca4.pdf","../plantguide/pdf/pg_elca4.pdf","Yes","Spring, Summer, Fall","Yellow","None","Yes","Yes","Yes","High","No","Medium","Medium","Medium","5.0","7.9","20","45"
"ELTR7","","Elymus trachycaulus","slender wheatgrass","NA (L48, AK, CAN, GL, SPM)","Perennial","Photo","../factsheet/pdf/fs_eltr7.pdf","../plantguide/pdf/pg_eltr7.pdf","Yes","Spring","Yellow","None","No","Yes","Yes","Medium","No","High","Medium","Low","5.6","9.0","8","25"
"ELVI3","","Elymus virginicus","Virginia wildrye","NA (L48, CAN, SPM)","Perennial","Photo","../factsheet/pdf/fs_elvi3.pdf","../plantguide/pdf/pg_elvi3.pdf","Yes","Spring","Yellow","None","Yes","Yes","Yes","Medium","No","Medium","Medium","Medium","5.0","7.4","24","55"
"ELWA2","","Elymus wawawaiensis","Snake River wheatgrass","NA (L48)","Perennial","","../factsheet/pdf/fs_elwa2.pdf","../plantguide/pdf/pg_elwa2.pdf","No","","","","","","","","","","","","","","",""
"ENPE4","","Engelmannia peristenia","Engelmann's daisy","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_enpe4.pdf","../plantguide/pdf/pg_enpe4.pdf","Yes","Spring and Fall","Orange","None","No","Yes","Yes","Medium","No","Medium","Medium","Medium","6.5","7.5","13","35"
"ERIN","","Eragrostis intermedia","plains lovegrass","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_erin.pdf","../plantguide/pdf/pg_erin.pdf","Yes","Summer","Yellow","None","Yes","Yes","No","Low","No","High","Medium","Low","5.7","7.8","5","18"
"ERTR3","","Eragrostis trichodes","sand lovegrass","NA (L48)","Perennial","","../factsheet/pdf/fs_ertr3.pdf","../plantguide/pdf/pg_ertr3.pdf","Yes","Summer and Fall","Yellow","None","Yes","No","No","High","No","High","Low","Medium","6.0","8.5","14","35"
"ERNA10","","Ericameria nauseosa","rubber rabbitbrush","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_erna10.pdf","../plantguide/pdf/pg_erna10.pdf","No","","","","","","","","","","","","","","",""
"ERSE5","","Eriochloa sericea","Texas cupgrass","NA (L48)","Perennial","","../factsheet/pdf/fs_erse5.pdf","../plantguide/pdf/pg_erse5.pdf","No","","","","","","","","","","","","","","",""
"ERPE10","","Eriogonum pelinophilum","clay-loving buckwheat","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_erpe10.pdf","../plantguide/pdf/pg_erpe10.pdf","No","","","","","","","","","","","","","","",""
"ERUM","","Eriogonum umbellatum","sulphur-flower buckwheat","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_erum.pdf","../plantguide/pdf/pg_erum.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","High","No","High","Low","Low","6.5","9.0","8","18"
"ERLA6","","Eriophyllum lanatum","common woolly sunflower","NA (L48, CAN)","Annual, Perennial","Photo","../factsheet/pdf/fs_erla6.pdf","../plantguide/pdf/pg_erla6.pdf","No","","","","","","","","","","","","","","",""
"EUGR5","","Euthamia graminifolia","flat-top goldentop","NA (L48, CAN, SPM)","Perennial","Photo","../factsheet/pdf/fs_eugr5.pdf","../plantguide/pdf/pg_eugr5.pdf","No","","","","","","","","","","","","","","",""
"EUPE10","","Eutrema penlandii","Penland's eutrema","NA (L48)","Perennial","","../factsheet/pdf/fs_eupe10.pdf","../plantguide/pdf/pg_eupe10.pdf","No","","","","","","","","","","","","","","",""
"FEAR2","","Festuca arizonica","Arizona fescue","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_fear2.pdf","../plantguide/pdf/pg_fear2.pdf","Yes","Spring","Yellow","None","No","No","Yes","High","No","Medium","Low","Low","6.5","7.5","10","16"
"FERU2","","Festuca rubra","red fescue","NA (L48, AK, CAN, GL, SPM), HI","Perennial","Photo","../factsheet/pdf/fs_feru2.pdf","../plantguide/pdf/pg_feru2.pdf","Yes","Spring and Fall","Yellow","None","No","Yes","Yes","Medium","No","Medium","Medium","Medium","5.0","8.0","30","60"
"FRNI","","Fraxinus nigra","black ash","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_frni.pdf","../plantguide/pdf/cs_frni.pdf","Yes","Spring and Summer","White","None","Yes","Yes","No","","Yes","Low","Medium","High","4.4","8.2","20","50"
"FRPE","","Fraxinus pennsylvanica","green ash","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_frpe.pdf","../plantguide/pdf/pg_frpe.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","Yes","High","Yes","Medium","Medium","Medium","4.7","8.1","15","71"
"GAAR","","Gaillardia aristata","blanketflower","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_gaar.pdf","../plantguide/pdf/pg_gaar.pdf","Yes","Spring","Yellow","None","Yes","Yes","No","Medium","No","Medium","Low","Medium","5.5","7.9","16","30"
"GLTR","","Gleditsia triacanthos","honeylocust","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_gltr.pdf","../plantguide/pdf/pg_gltr.pdf","Yes","Spring and Summer","Yellow","None","No","Yes","Yes","Medium","No","High","Medium","Medium","4.8","8.0","20","70"
"GLLE3","","Glycyrrhiza lepidota","American licorice","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_glle3.pdf","../plantguide/pdf/pg_glle3.pdf","Yes","Spring and Summer","White","Low","No","Yes","Yes","Medium","No","None","Medium","High","5.5","8.0","14","40"
"GYDI","","Gymnocladus dioicus","Kentucky coffeetree","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_gydi.pdf","../plantguide/pdf/cs_gydi.pdf","Yes","Spring and Summer","White","Low","Yes","Yes","Yes","","No","Medium","Low","Medium","6.0","8.0","",""
"HEBO","","Hedysarum boreale","Utah sweetvetch","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_hebo.pdf","../plantguide/pdf/pg_hebo.pdf","Yes","Spring and Summer","Red","Medium","Yes","Yes","Yes","Low","No","High","Low","Medium","5.2","8.0","12","18"
